Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,001558","2,0188E-06","0,11237",0,0,0,"149,06","1,6321","-1,1451E-05","0,012034","1,6721","3,1139E-05","2,0397","-0,001558","2,0188E-06","0,11237",0,0,0,package://assembly_kuka_simp/meshes/base_link.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/base_link.STL,black,base_kuka-1,Coordinate System1 <base_kuka-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
axis_1,"1,1102E-16","2,7756E-16","0,089476",0,0,0,"19,719","0,074701","4,3097E-18","2,0189E-19","0,074701","-7,5718E-18","0,043986","1,1102E-16","2,7756E-16","0,089476",0,0,0,package://assembly_kuka_simp/meshes/axis_1.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/axis_1.STL,gray,axis_1-1,Origin_base_to_axis1,Axis_base_to_axis1,base_to_axis1,fixed,0,0,"0,2965",0,0,"1,5686",base_link,0,0,0,,,,,,,,,,,,
link_1,0,0,0,0,0,0,"85,97","1,62","-0,21","0,94","2,57","-0,21","1,81",0,0,0,0,0,0,package://assembly_kuka_simp/meshes/link_1.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/link_1.STL,orange,link_1-1,Coordinate System2 <link_1-1>,Axis_base_to_link1,base_to_link1,continuous,0,0,"0,2255",0,0,"1,5686",base_link,0,0,1,0,"2,6878","-2,7053","2,7053",,,,,,,,
axis_2,"0,18","0,08975","0,40003",0,0,0,"20,994","0,087064","-7,7378E-17","-1,5918E-17","0,047384","-1,1966E-18","0,087064","0,18","0,08975","0,40003",0,0,0,package://assembly_kuka_simp/meshes/axis_2.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/axis_2.STL,gray,axis_2-1,Origin_link1_to_axis2,,link1_to_axis2,fixed,0,0,"-0,225",0,0,0,link_1,0,0,0,,,,,,,,,,,,
link_2,"0,0031161","-0,17175","0,26406",0,0,0,"63,108","2,146","0,0017265","-0,018041","2,1873","0,069311","0,17296","0,0031161","-0,17175","0,26406",0,0,0,package://assembly_kuka_simp/meshes/link_2.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/link_2.STL,orange,link_2-1,Coordinate System3 <link_2-1>,Axis_link1_to_link2,link1_to_link2,continuous,"0,18106","-0,002","0,178",0,"0,71824",0,link_1,0,1,0,0,"2,6878","-3,1416","1,1345",,,,,,,,
axis_3,"-1,1102E-15","0,066752",0,0,0,0,"12,245","0,046441","2,7856E-16","1,2143E-17","0,015844","7,7282E-17","0,046441","-1,1102E-15","0,066752",0,0,0,0,package://assembly_kuka_simp/meshes/axis_3.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/axis_3.STL,gray,axis_3-1,Origin_link2_to_axis3,Axis_link2_to_axis3,link2_to_axis3,fixed,"0,0011745",0,"0,59705",0,"-0,58172",0,link_2,0,0,0,,,,,,,,,,,,
link_3,"0,086086","-0,024557","0,10627",0,0,0,"50,39","0,56851","-0,12841","-0,24829","0,72042","-0,15113","0,56576","0,086086","-0,024557","0,10627",0,0,0,package://assembly_kuka_simp/meshes/link_3.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/link_3.STL,orange,link_3-1,Coordinate System4 <link_3-1>,Axis_link2_to_link3,link2_to_link3,continuous,"0,0011745","0,002","0,59705",0,"-0,58172",0,link_2,0,1,0,0,"3,9794","-0,2618","2,7576",,,,,,,,
axis_4,"0,2628","0,089251","0,99364",0,0,0,"2,8702","0,0059534","5,9844E-08","-1,3331E-07","0,0059534","2,1352E-07","0,0011552","0,2628","0,089251","0,99364",0,0,0,package://assembly_kuka_simp/meshes/axis_4.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/axis_4.STL,gray,axis_4-1,Origin_link3_to_axis4,,link3_to_axis4,fixed,"-0,1815","-0,00020283",-1,0,0,0,link_3,0,0,0,,,,,,,,,,,,
link_4,"0,19879","-0,00067831","0,0004912",0,0,0,"26,395","0,25277","0,0012247","0,0022768","0,40301","0,052083","0,5751","0,19879","-0,00067831","0,0004912",0,0,0,package://assembly_kuka_simp/meshes/link_4.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/link_4.STL,orange,link_4-1,Coordinate System5 <link_4-1>,Axis_link3_to_link4,link3_to_link4,continuous,"0,237",0,"0,17","-0,77711",0,0,link_3,1,0,0,0,"5,969","-6,1087","-6,1087",,,,,,,,
axis_5-1,"0,59984","0,0061452","1,216",0,0,0,"2,8701","0,0059529","-3,0629E-17","-4,3368E-19","0,001155","-1,2536E-18","0,0059529","0,59984","0,0061452","1,216",0,0,0,package://assembly_kuka_simp/meshes/axis_5-1.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/axis_5-1.STL,gray,axis_5-1-1,Origin_link4_to_axis51,,link4_to_axis51,fixed,"-1,161",0,"0,54051",0,"1,5708",0,link_4,0,0,0,,,,,,,,,,,,
axis_5-2,"0,48324","-0,0061452","1,2273",0,0,0,"2,8701","0,0059529","-3,5074E-17","-7,0473E-19","0,001155","-7,0947E-18","0,0059529","0,48324","-0,0061452","1,2273",0,0,0,package://assembly_kuka_simp/meshes/axis_5-2.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/axis_5-2.STL,gray,axis_5-2-1,Origin_link4_to_axis52,,link4_to_axis52,fixed,"-1,161",0,"0,54051",0,"1,5708",0,link_4,0,0,0,,,,,,,,,,,,
link_5,"0,075375","-0,0070921","-1,4828E-07",0,0,0,"8,3316","0,021249","0,0024931","-1,4695E-07","0,049743","-1,0627E-07","0,063119","0,075375","-0,0070921","-1,4828E-07",0,0,0,package://assembly_kuka_simp/meshes/link_5.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/link_5.STL,orange,link_5-1,Coordinate System6 <link_5-1>,Axis_link4_to_link5,link4_to_link5,continuous,"0,383","0,005",0,0,"0,48037",0,link_4,0,1,0,0,"6,7021","-2,2689","2,2689",,,,,,,,
link_6,"-0,0010352","-2,6645E-15","-0,00015568",0,0,0,"0,15535","0,0001313","1,5196E-18","9,2632E-08","6,8352E-05","9,6562E-20","6,9057E-05","-0,0010352","-2,6645E-15","-0,00015568",0,0,0,package://assembly_kuka_simp/meshes/link_6.STL,"0,64706","0,61961","0,58824",1,0,0,0,0,0,0,package://assembly_kuka_simp/meshes/link_6.STL,platinum,link_6-1,Coordinate System1 <link_6-1>,Axis_link5_to_link6,link5_to_link6,continuous,"0,193","-0,003",0,"1,3396",0,0,link_5,1,0,0,0,"12,584","-6,1087","6,1087",,,,,,,,
